id;street_address;postal_code;city;state_province
1;Secured Program;the program Ghana;West 민오군;Soft Colombia
2;installation International generating;Chief;Lake 대은구;Gold harness
3;neural;e-commerce Reverse-engineered Directives;South 정안군;Outdoors
4;pink;SCSI;East 준엽시;Fuerte Sports
5;17(E.U.A.-17) Frozen Venezuela;analyzer;용산;extend help-desk Cambridgeshire
6;Exclusive cutting-edge;compelling Beauty;성은구;Principal mobile
7;infomediaries Guadeloupe Licensed;서울 JBOD;아서군;Jewelery Bacon
8;Licensed Forward;connect Toys Assurance;East 우솔구;blockchains
9;Refined Nicaragua synthesize;digital withdrawal;왕시;IB
10;면;utilisation 읍;강화;Bhutanese extensible
